dataset,stem,같은 구시군,광역권(시도),광주+전남 통합,전국 전체,전국_loose(한정당0포함)
대선 14대·본투표,0,0,0,0,0,0
대선 15대·본투표,0,0,0,0,0,0
대선 16대·본투표,0,0,0,0,1,1
대선 17대·본투표,0,0,1,1,1,1
대선 18대·본투표,0,0,0,0,1,1
대선 19대·본투표,0,0,2,2,2,2
대선 19대·사전투표,0,0,7,7,15,15
대선 20대·본투표,0,1,2,2,4,4
대선 20대·사전투표,0,0,1,1,2,2
대선 21대·본투표,0,1,3,3,6,6
대선 21대·사전투표,0,0,0,0,0,0
지선8회(2022)·본투표,0,0,1,1,2,2
지선8회(2022)·사전투표,0,0,2,2,5,5
지선9회(2026)·본투표,0,0,4,4,7,7
지선9회(2026)·사전투표,1,1,7,8,10,10
총선 18대·본투표,0,0,0,0,1,104
총선 19대·본투표,0,0,0,0,18,140
총선 20대·본투표,0,0,1,1,2,23
총선 20대·사전투표,0,1,8,9,24,97
총선 21대·본투표,0,0,2,2,2,43
총선 21대·사전투표,0,0,0,0,1,56
총선 22대·본투표,0,1,1,1,4,8
총선 22대·사전투표,0,0,2,2,4,6
